id,operator,group,ref_class,map_class,ref_code,map_code
401,Cherubins,4,Fs,NF,12,2
637,gisele,7,Fs,Fs,12,12
425,lillteddy,5,Fs,NF,12,2
413,lillteddy,5,Fs,NF,12,2
28,karel88,1,Fs,Fp,12,11
763,lillteddy,8,Fs,NF,12,2
830,jeannette_kenovh,9,Fs,Fp,12,11
433,lillteddy,5,Fs,NF,12,2
309,Precieux,4,Fs,Fp,12,11
868,jeannette_kenovh,9,Fs,Fp,12,11
842,jeannette_kenovh,9,Fs,Fs,12,12
434,lillteddy,5,Fs,Fp,12,11
857,jeannette_kenovh,9,Fs,Fm,12,13
30,karel88,1,Fs,NF,12,2
471,lillteddy,5,Fs,Fm,12,13
418,lillteddy,5,Fs,Fm,12,13
890,jeannette_kenovh,9,Fs,Fp,12,11
585,carine,6,Fs,NF,12,2
841,jeannette_kenovh,9,Fs,Fp,12,11
436,lillteddy,5,Fs,NF,12,2
36,karel88,1,Fs,Fp,12,11
847,jeannette_kenovh,9,Fs,Fp,12,11
602,lillteddy,6,Fs,Fp,12,11
889,jeannette_kenovh,9,Fs,Fp,12,11
832,jeannette_kenovh,9,Fs,Fp,12,11
862,jeannette_kenovh,9,Fs,Fp,12,11
446,lillteddy,5,Fs,NF,12,2
792,leslie,8,Fs,Fs,12,12
659,gisele,7,Fs,NF,12,2
739,leslie,8,Fs,Fs,12,12
879,jeannette_kenovh,9,Fs,Fm,12,13
3,karel88,1,Fs,Fp,12,11
853,jeannette_kenovh,9,Fs,Fm,12,13
225,jeannette_kenovh,3,Fs,Fs,12,12
901,jeannette_kenovh,9,Fs,Fp,12,11
517,carine,6,Fs,Fs,12,12
415,lillteddy,5,Fs,NF,12,2
455,lillteddy,5,Fs,Fp,12,11
491,lillteddy,5,Fs,Fs,12,12
477,lillteddy,5,Fs,Fs,12,12
158,josney,2,Fs,Fs,12,12
870,jeannette_kenovh,9,Fs,Fp,12,11
906,jeannette_kenovh,9,Fs,Fs,12,12
447,lillteddy,5,Fs,Fm,12,13
542,carine,6,Fs,Fs,12,12
204,Precieux,3,Fs,Fm,12,13
859,jeannette_kenovh,9,Fs,Fm,12,13
183,josney,2,Fs,Fs,12,12
469,lillteddy,5,Fs,Fs,12,12
897,jeannette_kenovh,9,Fs,Fp,12,11
65,karel88,1,Fs,Fs,12,12
850,jeannette_kenovh,9,Fs,Fp,12,11
